,movieId,viewers,recommand,v_check,wilson_lb
9,1,33086,13895,33086,0.4197825350697472
135,2,242,93,242,0.38411656240229625
357,3,5565,2077,5565,0.3730455895278873
1960,4,1177,469,1177,0.39828855433567384
366,5,16947,4381,16947,0.2583489761130303
124,6,1543,233,1543,0.15087137232282696
375,7,6547,1199,6547,0.18299345873476755
3053,8,132,35,132,0.26498732103462236
1474,9,157,34,157,0.2164073024952954
91,10,2183,306,2183,0.1400449595939622
245,11,3264,802,3264,0.24555065043681748
1459,12,273,128,273,0.46867881078345414
2604,13,249,113,249,0.4536300393128413
1017,14,40284,27346,40284,0.6786565618125707
1887,15,2985,740,2985,0.24774558381569417
217,16,694,361,694,0.519987035924099
173,17,5783,2962,5783,0.5120049345774202
1100,18,218,134,218,0.614497818775519
168,19,9574,3340,9574,0.3486841995546853
1425,20,21,6,21,0.28554624175075455
158,21,15995,2413,15995,0.1507265319290702
593,22,3596,2519,3596,0.7003301165444147
1371,23,684,269,684,0.3930931322715765
765,24,31545,22823,31545,0.723339668329564
169,25,1465,798,1465,0.5445246132158942
1945,26,54027,39320,54027,0.7276186263120327
2670,27,190,24,190,0.12619224540187954
1784,28,1840,602,1840,0.32699937953210534
684,29,130,46,130,0.3536682753625058
3289,30,8,3,8,0.3748199009081829
550,31,540,162,540,0.2998295344090003
26,32,1876,775,1876,0.41292982525366795
11737,33,1503,651,1503,0.4329493893415483
78,34,6341,2010,6341,0.3168116141486646
3005,35,1576,1172,1576,0.7434923475226797
178,36,9727,4924,9727,0.5060337906766028
10860,37,355,84,355,0.2364616323124123
4684,38,126,63,126,0.4998139765888565
116,39,1177,345,1177,0.29294877270364905
4055,40,9981,3474,9981,0.34788411095229904
1328,41,15264,10866,15264,0.7117025430344189
2164,42,10545,6634,10545,0.6289335916687124
2136,43,139,43,139,0.30918057439167734
476,44,76451,41517,76451,0.5428683822307314
713,45,1640,299,1640,0.1821734677643613
1823,46,272,99,272,0.36379160033945257
25,47,3028,1639,3028,0.5410959798272139
337,48,413,233,413,0.5639801547310973
7256,49,2788,618,2788,0.22150977824894788
15,50,21165,13111,21165,0.6192854476796987
14942,51,59,17,59,0.2879671245657684
653,52,12747,4828,12747,0.37857533104491026
8852,53,3,1,3,0.33315797184765045
3806,54,487,95,487,0.19492448499126183
3975,55,820,178,820,0.21691983252766692
11113,56,2,0,2,0.0
2214,57,184,16,184,0.08685174676684668
466,58,511,49,511,0.09578092108204783
8087,59,45,6,45,0.1332069124762694
923,60,4418,2844,4418,0.6435520029291185
2245,61,34110,26627,34110,0.7804675172973122
185,62,987,473,987,0.47904412989989476
2088,63,1258,750,1258,0.5960018574046536
2411,64,1184,712,1184,0.6011691756962692
1178,65,17931,14639,17931,0.8162632569024895
2181,66,746,79,746,0.10578369638269354
